League,Team,Opponent,TransitionClass,TeamMatchRows,OpponentTotalRows,TransitionRateVsOpponentPct
English Premier League,Arsenal,Aston Villa,Comeback Win,2,14,14.29
English Premier League,Arsenal,Aston Villa,Draw Breakthrough,1,14,7.14
English Premier League,Arsenal,Aston Villa,Draw Lost,1,14,7.14
English Premier League,Arsenal,Aston Villa,Lead Slip,1,14,7.14
English Premier League,Arsenal,Aston Villa,No Recovery,4,14,28.57
English Premier League,Arsenal,Aston Villa,Protected Lead,5,14,35.71
English Premier League,Arsenal,Bournemouth,Comeback Win,1,16,6.25
English Premier League,Arsenal,Bournemouth,Draw Breakthrough,2,16,12.5
English Premier League,Arsenal,Bournemouth,Draw Lost,2,16,12.5
English Premier League,Arsenal,Bournemouth,Lead Collapse,1,16,6.25
English Premier League,Arsenal,Bournemouth,Protected Lead,8,16,50.0
English Premier League,Arsenal,Bournemouth,Recovery Draw,2,16,12.5
English Premier League,Arsenal,Brentford,Draw Breakthrough,4,8,50.0
English Premier League,Arsenal,Brentford,No Recovery,1,8,12.5
English Premier League,Arsenal,Brentford,Protected Lead,1,8,12.5
English Premier League,Arsenal,Brentford,Stable Draw,2,8,25.0
English Premier League,Arsenal,Brighton,Draw Breakthrough,3,16,18.75
English Premier League,Arsenal,Brighton,Draw Lost,2,16,12.5
English Premier League,Arsenal,Brighton,Lead Slip,3,16,18.75
English Premier League,Arsenal,Brighton,No Recovery,3,16,18.75
English Premier League,Arsenal,Brighton,Protected Lead,3,16,18.75
English Premier League,Arsenal,Brighton,Stable Draw,2,16,12.5
English Premier League,Arsenal,Burnley,Draw Breakthrough,5,14,35.71
English Premier League,Arsenal,Burnley,Draw Lost,1,14,7.14
English Premier League,Arsenal,Burnley,Protected Lead,5,14,35.71
English Premier League,Arsenal,Burnley,Stable Draw,3,14,21.43
English Premier League,Arsenal,Cardiff,Draw Breakthrough,2,2,100.0
English Premier League,Arsenal,Chelsea,Draw Breakthrough,2,20,10.0
English Premier League,Arsenal,Chelsea,Draw Lost,2,20,10.0
English Premier League,Arsenal,Chelsea,Lead Collapse,1,20,5.0
English Premier League,Arsenal,Chelsea,No Recovery,3,20,15.0
English Premier League,Arsenal,Chelsea,Protected Lead,7,20,35.0
English Premier League,Arsenal,Chelsea,Recovery Draw,2,20,10.0
English Premier League,Arsenal,Chelsea,Stable Draw,3,20,15.0
English Premier League,Arsenal,Crystal Palace,Draw Breakthrough,2,20,10.0
English Premier League,Arsenal,Crystal Palace,Lead Slip,5,20,25.0
English Premier League,Arsenal,Crystal Palace,No Recovery,3,20,15.0
English Premier League,Arsenal,Crystal Palace,Protected Lead,8,20,40.0
English Premier League,Arsenal,Crystal Palace,Recovery Draw,1,20,5.0
English Premier League,Arsenal,Crystal Palace,Stable Draw,1,20,5.0
English Premier League,Arsenal,Everton,Draw Breakthrough,5,20,25.0
English Premier League,Arsenal,Everton,Draw Lost,3,20,15.0
English Premier League,Arsenal,Everton,Lead Collapse,1,20,5.0
English Premier League,Arsenal,Everton,Lead Slip,1,20,5.0
English Premier League,Arsenal,Everton,No Recovery,2,20,10.0
English Premier League,Arsenal,Everton,Protected Lead,6,20,30.0
English Premier League,Arsenal,Everton,Stable Draw,2,20,10.0
English Premier League,Arsenal,Fulham,Draw Breakthrough,2,10,20.0
English Premier League,Arsenal,Fulham,Draw Lost,1,10,10.0
English Premier League,Arsenal,Fulham,Protected Lead,4,10,40.0
English Premier League,Arsenal,Fulham,Recovery Draw,2,10,20.0
English Premier League,Arsenal,Fulham,Stable Draw,1,10,10.0
English Premier League,Arsenal,Huddersfield,Draw Breakthrough,1,4,25.0
English Premier League,Arsenal,Huddersfield,Protected Lead,3,4,75.0
English Premier League,Arsenal,Hull,Protected Lead,2,2,100.0
English Premier League,Arsenal,Ipswich,Protected Lead,2,2,100.0
English Premier League,Arsenal,Leeds,Protected Lead,5,6,83.33
English Premier League,Arsenal,Leeds,Stable Draw,1,6,16.67
English Premier League,Arsenal,Leicester,Comeback Win,1,18,5.56
English Premier League,Arsenal,Leicester,Draw Breakthrough,5,18,27.78
English Premier League,Arsenal,Leicester,Draw Lost,3,18,16.67
English Premier League,Arsenal,Leicester,Lead Slip,1,18,5.56
English Premier League,Arsenal,Leicester,No Recovery,1,18,5.56
English Premier League,Arsenal,Leicester,Protected Lead,6,18,33.33
English Premier League,Arsenal,Leicester,Stable Draw,1,18,5.56
English Premier League,Arsenal,Liverpool,Draw Breakthrough,1,20,5.0
English Premier League,Arsenal,Liverpool,Draw Lost,3,20,15.0
English Premier League,Arsenal,Liverpool,Lead Slip,2,20,10.0
English Premier League,Arsenal,Liverpool,No Recovery,6,20,30.0
English Premier League,Arsenal,Liverpool,Protected Lead,2,20,10.0
English Premier League,Arsenal,Liverpool,Recovery Draw,2,20,10.0
English Premier League,Arsenal,Liverpool,Stable Draw,4,20,20.0
English Premier League,Arsenal,Luton,Protected Lead,2,2,100.0
English Premier League,Arsenal,Man City,Draw Breakthrough,1,20,5.0
English Premier League,Arsenal,Man City,Draw Lost,1,20,5.0
English Premier League,Arsenal,Man City,Lead Collapse,2,20,10.0
English Premier League,Arsenal,Man City,Lead Slip,1,20,5.0
English Premier League,Arsenal,Man City,No Recovery,10,20,50.0
English Premier League,Arsenal,Man City,Protected Lead,2,20,10.0
English Premier League,Arsenal,Man City,Recovery Draw,1,20,5.0
English Premier League,Arsenal,Man City,Stable Draw,2,20,10.0
English Premier League,Arsenal,Man United,Draw Breakthrough,5,20,25.0
English Premier League,Arsenal,Man United,Draw Lost,1,20,5.0
English Premier League,Arsenal,Man United,No Recovery,4,20,20.0
English Premier League,Arsenal,Man United,Protected Lead,5,20,25.0
English Premier League,Arsenal,Man United,Recovery Draw,2,20,10.0
English Premier League,Arsenal,Man United,Stable Draw,3,20,15.0
English Premier League,Arsenal,Middlesbrough,Protected Lead,1,2,50.0
English Premier League,Arsenal,Middlesbrough,Stable Draw,1,2,50.0
English Premier League,Arsenal,Newcastle,Draw Breakthrough,8,18,44.44
English Premier League,Arsenal,Newcastle,Draw Lost,3,18,16.67
English Premier League,Arsenal,Newcastle,No Recovery,1,18,5.56
English Premier League,Arsenal,Newcastle,Protected Lead,5,18,27.78
English Premier League,Arsenal,Newcastle,Stable Draw,1,18,5.56
English Premier League,Arsenal,Norwich,Draw Breakthrough,2,6,33.33
English Premier League,Arsenal,Norwich,Protected Lead,2,6,33.33
English Premier League,Arsenal,Norwich,Recovery Draw,1,6,16.67
English Premier League,Arsenal,Norwich,Stable Draw,1,6,16.67
English Premier League,Arsenal,Nott'm Forest,Draw Breakthrough,1,6,16.67
English Premier League,Arsenal,Nott'm Forest,No Recovery,1,6,16.67
English Premier League,Arsenal,Nott'm Forest,Protected Lead,3,6,50.0
English Premier League,Arsenal,Nott'm Forest,Stable Draw,1,6,16.67
English Premier League,Arsenal,Sheffield United,Draw Breakthrough,1,6,16.67
English Premier League,Arsenal,Sheffield United,Lead Slip,1,6,16.67
English Premier League,Arsenal,Sheffield United,No Recovery,1,6,16.67
English Premier League,Arsenal,Sheffield United,Protected Lead,3,6,50.0
English Premier League,Arsenal,Southampton,Draw Breakthrough,3,18,16.67
English Premier League,Arsenal,Southampton,Lead Slip,1,18,5.56
English Premier League,Arsenal,Southampton,No Recovery,3,18,16.67
English Premier League,Arsenal,Southampton,Protected Lead,6,18,33.33
English Premier League,Arsenal,Southampton,Recovery Draw,3,18,16.67
English Premier League,Arsenal,Southampton,Stable Draw,2,18,11.11
English Premier League,Arsenal,Stoke,Draw Breakthrough,2,6,33.33
English Premier League,Arsenal,Stoke,Draw Lost,1,6,16.67
English Premier League,Arsenal,Stoke,Protected Lead,2,6,33.33
English Premier League,Arsenal,Stoke,Stable Draw,1,6,16.67
English Premier League,Arsenal,Sunderland,Draw Breakthrough,2,4,50.0
English Premier League,Arsenal,Sunderland,Protected Lead,1,4,25.0
English Premier League,Arsenal,Sunderland,Stable Draw,1,4,25.0
English Premier League,Arsenal,Swansea,Comeback Win,1,6,16.67
English Premier League,Arsenal,Swansea,Draw Breakthrough,1,6,16.67
English Premier League,Arsenal,Swansea,Draw Lost,2,6,33.33
English Premier League,Arsenal,Swansea,Protected Lead,2,6,33.33
English Premier League,Arsenal,Tottenham,Comeback Win,1,20,5.0
English Premier League,Arsenal,Tottenham,Draw Breakthrough,3,20,15.0
English Premier League,Arsenal,Tottenham,Draw Lost,3,20,15.0
English Premier League,Arsenal,Tottenham,Lead Slip,3,20,15.0
English Premier League,Arsenal,Tottenham,No Recovery,2,20,10.0
English Premier League,Arsenal,Tottenham,Protected Lead,5,20,25.0
English Premier League,Arsenal,Tottenham,Recovery Draw,2,20,10.0
English Premier League,Arsenal,Tottenham,Stable Draw,1,20,5.0
English Premier League,Arsenal,Watford,Draw Breakthrough,3,12,25.0
English Premier League,Arsenal,Watford,Lead Collapse,1,12,8.33
English Premier League,Arsenal,Watford,Lead Slip,1,12,8.33
English Premier League,Arsenal,Watford,No Recovery,1,12,8.33
English Premier League,Arsenal,Watford,Protected Lead,6,12,50.0
English Premier League,Arsenal,West Brom,Draw Breakthrough,1,8,12.5
English Premier League,Arsenal,West Brom,Draw Lost,1,8,12.5
English Premier League,Arsenal,West Brom,No Recovery,1,8,12.5
English Premier League,Arsenal,West Brom,Protected Lead,4,8,50.0
English Premier League,Arsenal,West Brom,Stable Draw,1,8,12.5
English Premier League,Arsenal,West Ham,Comeback Win,2,20,10.0
English Premier League,Arsenal,West Ham,Draw Breakthrough,7,20,35.0
English Premier League,Arsenal,West Ham,Draw Lost,1,20,5.0
English Premier League,Arsenal,West Ham,Lead Slip,1,20,5.0
English Premier League,Arsenal,West Ham,No Recovery,3,20,15.0
English Premier League,Arsenal,West Ham,Protected Lead,3,20,15.0
English Premier League,Arsenal,West Ham,Recovery Draw,1,20,5.0
English Premier League,Arsenal,West Ham,Stable Draw,2,20,10.0
English Premier League,Arsenal,Wolves,Comeback Win,1,14,7.14
English Premier League,Arsenal,Wolves,Draw Breakthrough,2,14,14.29
English Premier League,Arsenal,Wolves,Draw Lost,1,14,7.14
English Premier League,Arsenal,Wolves,Lead Slip,1,14,7.14
English Premier League,Arsenal,Wolves,No Recovery,2,14,14.29
English Premier League,Arsenal,Wolves,Protected Lead,6,14,42.86
English Premier League,Arsenal,Wolves,Recovery Draw,1,14,7.14
English Premier League,Aston Villa,Arsenal,Draw Breakthrough,1,14,7.14
English Premier League,Aston Villa,Arsenal,Draw Lost,1,14,7.14
English Premier League,Aston Villa,Arsenal,Lead Collapse,2,14,14.29
English Premier League,Aston Villa,Arsenal,No Recovery,5,14,35.71
English Premier League,Aston Villa,Arsenal,Protected Lead,4,14,28.57
English Premier League,Aston Villa,Arsenal,Recovery Draw,1,14,7.14
English Premier League,Aston Villa,Bournemouth,Draw Breakthrough,2,10,20.0
English Premier League,Aston Villa,Bournemouth,No Recovery,4,10,40.0
English Premier League,Aston Villa,Bournemouth,Protected Lead,2,10,20.0
English Premier League,Aston Villa,Bournemouth,Stable Draw,2,10,20.0
English Premier League,Aston Villa,Brentford,Comeback Win,1,8,12.5
English Premier League,Aston Villa,Brentford,Draw Breakthrough,1,8,12.5
English Premier League,Aston Villa,Brentford,Draw Lost,1,8,12.5
English Premier League,Aston Villa,Brentford,Lead Slip,1,8,12.5
English Premier League,Aston Villa,Brentford,Protected Lead,2,8,25.0
English Premier League,Aston Villa,Brentford,Stable Draw,2,8,25.0
English Premier League,Aston Villa,Brighton,Draw Breakthrough,4,12,33.33
English Premier League,Aston Villa,Brighton,Draw Lost,1,12,8.33
English Premier League,Aston Villa,Brighton,No Recovery,1,12,8.33
English Premier League,Aston Villa,Brighton,Protected Lead,3,12,25.0
English Premier League,Aston Villa,Brighton,Recovery Draw,1,12,8.33
English Premier League,Aston Villa,Brighton,Stable Draw,2,12,16.67
English Premier League,Aston Villa,Burnley,Lead Collapse,1,8,12.5
English Premier League,Aston Villa,Burnley,Lead Slip,1,8,12.5
English Premier League,Aston Villa,Burnley,Protected Lead,4,8,50.0
English Premier League,Aston Villa,Burnley,Recovery Draw,1,8,12.5
English Premier League,Aston Villa,Burnley,Stable Draw,1,8,12.5
English Premier League,Aston Villa,Chelsea,Comeback Win,1,14,7.14
English Premier League,Aston Villa,Chelsea,Draw Breakthrough,1,14,7.14
English Premier League,Aston Villa,Chelsea,Draw Lost,2,14,14.29
English Premier League,Aston Villa,Chelsea,Lead Collapse,1,14,7.14
English Premier League,Aston Villa,Chelsea,Lead Slip,1,14,7.14
English Premier League,Aston Villa,Chelsea,No Recovery,5,14,35.71
English Premier League,Aston Villa,Chelsea,Protected Lead,2,14,14.29
English Premier League,Aston Villa,Chelsea,Recovery Draw,1,14,7.14
English Premier League,Aston Villa,Crystal Palace,Draw Breakthrough,2,14,14.29
English Premier League,Aston Villa,Crystal Palace,Draw Lost,3,14,21.43
English Premier League,Aston Villa,Crystal Palace,Lead Collapse,1,14,7.14
English Premier League,Aston Villa,Crystal Palace,No Recovery,2,14,14.29
English Premier League,Aston Villa,Crystal Palace,Protected Lead,4,14,28.57
English Premier League,Aston Villa,Crystal Palace,Recovery Draw,1,14,7.14
English Premier League,Aston Villa,Crystal Palace,Stable Draw,1,14,7.14
English Premier League,Aston Villa,Everton,Comeback Win,1,14,7.14
English Premier League,Aston Villa,Everton,Draw Breakthrough,4,14,28.57
English Premier League,Aston Villa,Everton,No Recovery,2,14,14.29
English Premier League,Aston Villa,Everton,Protected Lead,4,14,28.57
English Premier League,Aston Villa,Everton,Stable Draw,3,14,21.43
English Premier League,Aston Villa,Fulham,Draw Breakthrough,2,8,25.0
English Premier League,Aston Villa,Fulham,No Recovery,1,8,12.5
English Premier League,Aston Villa,Fulham,Protected Lead,5,8,62.5
English Premier League,Aston Villa,Ipswich,Lead Slip,1,2,50.0
English Premier League,Aston Villa,Ipswich,Stable Draw,1,2,50.0
English Premier League,Aston Villa,Leeds,Draw Lost,1,6,16.67
English Premier League,Aston Villa,Leeds,Lead Slip,1,6,16.67
English Premier League,Aston Villa,Leeds,Protected Lead,3,6,50.0
English Premier League,Aston Villa,Leeds,Stable Draw,1,6,16.67
English Premier League,Aston Villa,Leicester,Draw Breakthrough,4,12,33.33
English Premier League,Aston Villa,Leicester,Lead Collapse,1,12,8.33
English Premier League,Aston Villa,Leicester,No Recovery,4,12,33.33
English Premier League,Aston Villa,Leicester,Protected Lead,1,12,8.33
English Premier League,Aston Villa,Leicester,Recovery Draw,1,12,8.33
English Premier League,Aston Villa,Leicester,Stable Draw,1,12,8.33
English Premier League,Aston Villa,Liverpool,Draw Lost,3,14,21.43
English Premier League,Aston Villa,Liverpool,Lead Collapse,2,14,14.29
English Premier League,Aston Villa,Liverpool,Lead Slip,2,14,14.29
English Premier League,Aston Villa,Liverpool,No Recovery,5,14,35.71
English Premier League,Aston Villa,Liverpool,Protected Lead,1,14,7.14
English Premier League,Aston Villa,Liverpool,Recovery Draw,1,14,7.14
English Premier League,Aston Villa,Luton,Protected Lead,2,2,100.0
English Premier League,Aston Villa,Man City,Draw Breakthrough,1,14,7.14
English Premier League,Aston Villa,Man City,Draw Lost,4,14,28.57
English Premier League,Aston Villa,Man City,Lead Collapse,1,14,7.14
English Premier League,Aston Villa,Man City,No Recovery,5,14,35.71
English Premier League,Aston Villa,Man City,Protected Lead,1,14,7.14
English Premier League,Aston Villa,Man City,Stable Draw,2,14,14.29
English Premier League,Aston Villa,Man United,Draw Breakthrough,1,14,7.14
English Premier League,Aston Villa,Man United,Draw Lost,1,14,7.14
English Premier League,Aston Villa,Man United,Lead Collapse,2,14,14.29
English Premier League,Aston Villa,Man United,No Recovery,6,14,42.86
English Premier League,Aston Villa,Man United,Protected Lead,1,14,7.14
English Premier League,Aston Villa,Man United,Recovery Draw,1,14,7.14
English Premier League,Aston Villa,Man United,Stable Draw,2,14,14.29
English Premier League,Aston Villa,Newcastle,Draw Breakthrough,1,14,7.14
English Premier League,Aston Villa,Newcastle,No Recovery,5,14,35.71
English Premier League,Aston Villa,Newcastle,Protected Lead,4,14,28.57
English Premier League,Aston Villa,Newcastle,Recovery Draw,1,14,7.14
English Premier League,Aston Villa,Newcastle,Stable Draw,3,14,21.43
English Premier League,Aston Villa,Norwich,Draw Breakthrough,1,6,16.67
English Premier League,Aston Villa,Norwich,No Recovery,1,6,16.67
English Premier League,Aston Villa,Norwich,Protected Lead,4,6,66.67
English Premier League,Aston Villa,Nott'm Forest,Draw Breakthrough,1,6,16.67
English Premier League,Aston Villa,Nott'm Forest,Draw Lost,1,6,16.67
English Premier League,Aston Villa,Nott'm Forest,No Recovery,1,6,16.67
English Premier League,Aston Villa,Nott'm Forest,Protected Lead,2,6,33.33
English Premier League,Aston Villa,Nott'm Forest,Stable Draw,1,6,16.67
English Premier League,Aston Villa,Sheffield United,Draw Breakthrough,1,6,16.67
English Premier League,Aston Villa,Sheffield United,Draw Lost,1,6,16.67
English Premier League,Aston Villa,Sheffield United,No Recovery,1,6,16.67
English Premier League,Aston Villa,Sheffield United,Protected Lead,1,6,16.67
English Premier League,Aston Villa,Sheffield United,Stable Draw,2,6,33.33
English Premier League,Aston Villa,Southampton,Draw Breakthrough,2,12,16.67
English Premier League,Aston Villa,Southampton,Lead Slip,1,12,8.33
English Premier League,Aston Villa,Southampton,No Recovery,5,12,41.67
English Premier League,Aston Villa,Southampton,Protected Lead,4,12,33.33
English Premier League,Aston Villa,Stoke,Draw Lost,2,2,100.0
English Premier League,Aston Villa,Sunderland,Lead Slip,1,2,50.0
English Premier League,Aston Villa,Sunderland,No Recovery,1,2,50.0
English Premier League,Aston Villa,Swansea,Draw Lost,2,2,100.0
English Premier League,Aston Villa,Tottenham,Draw Breakthrough,3,14,21.43
English Premier League,Aston Villa,Tottenham,Draw Lost,1,14,7.14
English Premier League,Aston Villa,Tottenham,Lead Collapse,2,14,14.29
English Premier League,Aston Villa,Tottenham,No Recovery,6,14,42.86
English Premier League,Aston Villa,Tottenham,Protected Lead,2,14,14.29
English Premier League,Aston Villa,Watford,Comeback Win,1,6,16.67
English Premier League,Aston Villa,Watford,Draw Lost,3,6,50.0
English Premier League,Aston Villa,Watford,No Recovery,2,6,33.33
English Premier League,Aston Villa,West Brom,No Recovery,1,4,25.0
English Premier League,Aston Villa,West Brom,Protected Lead,1,4,25.0
English Premier League,Aston Villa,West Brom,Stable Draw,2,4,50.0
English Premier League,Aston Villa,West Ham,Draw Breakthrough,1,14,7.14
English Premier League,Aston Villa,West Ham,Draw Lost,5,14,35.71
English Premier League,Aston Villa,West Ham,Lead Slip,1,14,7.14
English Premier League,Aston Villa,West Ham,No Recovery,1,14,7.14
English Premier League,Aston Villa,West Ham,Protected Lead,1,14,7.14
English Premier League,Aston Villa,West Ham,Recovery Draw,2,14,14.29
English Premier League,Aston Villa,West Ham,Stable Draw,3,14,21.43
English Premier League,Aston Villa,Wolves,Comeback Win,1,12,8.33
English Premier League,Aston Villa,Wolves,Draw Breakthrough,1,12,8.33
English Premier League,Aston Villa,Wolves,Draw Lost,2,12,16.67
English Premier League,Aston Villa,Wolves,No Recovery,4,12,33.33
English Premier League,Aston Villa,Wolves,Protected Lead,1,12,8.33
English Premier League,Aston Villa,Wolves,Recovery Draw,1,12,8.33
English Premier League,Aston Villa,Wolves,Stable Draw,2,12,16.67
English Premier League,Bournemouth,Arsenal,Comeback Win,1,16,6.25
English Premier League,Bournemouth,Arsenal,Draw Breakthrough,2,16,12.5
English Premier League,Bournemouth,Arsenal,Draw Lost,2,16,12.5
English Premier League,Bournemouth,Arsenal,Lead Collapse,1,16,6.25
English Premier League,Bournemouth,Arsenal,Lead Slip,2,16,12.5
English Premier League,Bournemouth,Arsenal,No Recovery,8,16,50.0
English Premier League,Bournemouth,Aston Villa,Draw Lost,2,10,20.0
English Premier League,Bournemouth,Aston Villa,No Recovery,2,10,20.0
English Premier League,Bournemouth,Aston Villa,Protected Lead,4,10,40.0
English Premier League,Bournemouth,Aston Villa,Stable Draw,2,10,20.0
English Premier League,Bournemouth,Brentford,Draw Lost,3,6,50.0
English Premier League,Bournemouth,Brentford,No Recovery,1,6,16.67
English Premier League,Bournemouth,Brentford,Stable Draw,2,6,33.33
English Premier League,Bournemouth,Brighton,Draw Breakthrough,1,12,8.33
English Premier League,Bournemouth,Brighton,Draw Lost,2,12,16.67
English Premier League,Bournemouth,Brighton,No Recovery,4,12,33.33
English Premier League,Bournemouth,Brighton,Protected Lead,4,12,33.33
English Premier League,Bournemouth,Brighton,Stable Draw,1,12,8.33
English Premier League,Bournemouth,Burnley,Comeback Win,1,10,10.0
English Premier League,Bournemouth,Burnley,Draw Breakthrough,1,10,10.0
English Premier League,Bournemouth,Burnley,Draw Lost,2,10,20.0
English Premier League,Bournemouth,Burnley,No Recovery,4,10,40.0
English Premier League,Bournemouth,Burnley,Protected Lead,2,10,20.0
English Premier League,Bournemouth,Cardiff,No Recovery,1,2,50.0
English Premier League,Bournemouth,Cardiff,Protected Lead,1,2,50.0
English Premier League,Bournemouth,Chelsea,Draw Breakthrough,4,16,25.0
English Premier League,Bournemouth,Chelsea,Draw Lost,4,16,25.0
English Premier League,Bournemouth,Chelsea,No Recovery,5,16,31.25
English Premier League,Bournemouth,Chelsea,Recovery Draw,2,16,12.5
English Premier League,Bournemouth,Chelsea,Stable Draw,1,16,6.25
English Premier League,Bournemouth,Crystal Palace,Draw Breakthrough,2,16,12.5
English Premier League,Bournemouth,Crystal Palace,Draw Lost,2,16,12.5
English Premier League,Bournemouth,Crystal Palace,Lead Slip,1,16,6.25
English Premier League,Bournemouth,Crystal Palace,No Recovery,4,16,25.0
English Premier League,Bournemouth,Crystal Palace,Protected Lead,2,16,12.5
English Premier League,Bournemouth,Crystal Palace,Stable Draw,5,16,31.25
English Premier League,Bournemouth,Everton,Draw Breakthrough,4,16,25.0
English Premier League,Bournemouth,Everton,Draw Lost,4,16,25.0
English Premier League,Bournemouth,Everton,No Recovery,2,16,12.5
English Premier League,Bournemouth,Everton,Protected Lead,4,16,25.0
English Premier League,Bournemouth,Everton,Recovery Draw,1,16,6.25
English Premier League,Bournemouth,Everton,Stable Draw,1,16,6.25
English Premier League,Bournemouth,Fulham,Comeback Win,1,8,12.5
English Premier League,Bournemouth,Fulham,Draw Lost,1,8,12.5
English Premier League,Bournemouth,Fulham,Lead Slip,1,8,12.5
English Premier League,Bournemouth,Fulham,No Recovery,1,8,12.5
English Premier League,Bournemouth,Fulham,Protected Lead,3,8,37.5
English Premier League,Bournemouth,Fulham,Recovery Draw,1,8,12.5
English Premier League,Bournemouth,Huddersfield,No Recovery,1,4,25.0
English Premier League,Bournemouth,Huddersfield,Protected Lead,3,4,75.0
English Premier League,Bournemouth,Hull,Draw Lost,1,2,50.0
English Premier League,Bournemouth,Hull,Protected Lead,1,2,50.0
English Premier League,Bournemouth,Ipswich,Comeback Win,1,2,50.0
English Premier League,Bournemouth,Ipswich,No Recovery,1,2,50.0
English Premier League,Bournemouth,Leeds,Lead Collapse,1,2,50.0
English Premier League,Bournemouth,Leeds,Protected Lead,1,2,50.0
English Premier League,Bournemouth,Leicester,Comeback Win,2,14,14.29
English Premier League,Bournemouth,Leicester,Draw Breakthrough,1,14,7.14
English Premier League,Bournemouth,Leicester,Lead Slip,3,14,21.43
English Premier League,Bournemouth,Leicester,No Recovery,3,14,21.43
English Premier League,Bournemouth,Leicester,Protected Lead,3,14,21.43
English Premier League,Bournemouth,Leicester,Stable Draw,2,14,14.29
English Premier League,Bournemouth,Liverpool,Comeback Win,1,16,6.25
English Premier League,Bournemouth,Liverpool,Draw Lost,1,16,6.25
English Premier League,Bournemouth,Liverpool,No Recovery,12,16,75.0
English Premier League,Bournemouth,Liverpool,Protected Lead,1,16,6.25
English Premier League,Bournemouth,Liverpool,Stable Draw,1,16,6.25
English Premier League,Bournemouth,Luton,Comeback Win,1,2,50.0
English Premier League,Bournemouth,Luton,Draw Lost,1,2,50.0
English Premier League,Bournemouth,Man City,Draw Lost,3,16,18.75
English Premier League,Bournemouth,Man City,No Recovery,12,16,75.0
English Premier League,Bournemouth,Man City,Protected Lead,1,16,6.25
English Premier League,Bournemouth,Man United,Draw Breakthrough,1,16,6.25
English Premier League,Bournemouth,Man United,Draw Lost,1,16,6.25
English Premier League,Bournemouth,Man United,Lead Slip,2,16,12.5
English Premier League,Bournemouth,Man United,No Recovery,8,16,50.0
English Premier League,Bournemouth,Man United,Protected Lead,3,16,18.75
English Premier League,Bournemouth,Man United,Stable Draw,1,16,6.25
English Premier League,Bournemouth,Middlesbrough,No Recovery,1,2,50.0
English Premier League,Bournemouth,Middlesbrough,Protected Lead,1,2,50.0
English Premier League,Bournemouth,Newcastle,Draw Breakthrough,2,14,14.29
English Premier League,Bournemouth,Newcastle,Draw Lost,1,14,7.14
English Premier League,Bournemouth,Newcastle,Lead Slip,1,14,7.14
English Premier League,Bournemouth,Newcastle,No Recovery,3,14,21.43
English Premier League,Bournemouth,Newcastle,Protected Lead,2,14,14.29
English Premier League,Bournemouth,Newcastle,Recovery Draw,2,14,14.29
English Premier League,Bournemouth,Newcastle,Stable Draw,3,14,21.43
English Premier League,Bournemouth,Norwich,No Recovery,2,4,50.0
English Premier League,Bournemouth,Norwich,Protected Lead,1,4,25.0
English Premier League,Bournemouth,Norwich,Stable Draw,1,4,25.0
English Premier League,Bournemouth,Nott'm Forest,Comeback Win,1,6,16.67
English Premier League,Bournemouth,Nott'm Forest,Draw Breakthrough,1,6,16.67
English Premier League,Bournemouth,Nott'm Forest,Lead Slip,1,6,16.67
English Premier League,Bournemouth,Nott'm Forest,Protected Lead,1,6,16.67
English Premier League,Bournemouth,Nott'm Forest,Recovery Draw,1,6,16.67
English Premier League,Bournemouth,Nott'm Forest,Stable Draw,1,6,16.67
English Premier League,Bournemouth,Sheffield United,Draw Lost,1,4,25.0
English Premier League,Bournemouth,Sheffield United,Protected Lead,1,4,25.0
English Premier League,Bournemouth,Sheffield United,Recovery Draw,1,4,25.0
English Premier League,Bournemouth,Sheffield United,Stable Draw,1,4,25.0
English Premier League,Bournemouth,Southampton,Draw Breakthrough,1,14,7.14
English Premier League,Bournemouth,Southampton,Draw Lost,2,14,14.29
English Premier League,Bournemouth,Southampton,Lead Slip,2,14,14.29
English Premier League,Bournemouth,Southampton,No Recovery,3,14,21.43
English Premier League,Bournemouth,Southampton,Protected Lead,4,14,28.57
English Premier League,Bournemouth,Southampton,Stable Draw,2,14,14.29
English Premier League,Bournemouth,Stoke,Comeback Win,1,6,16.67
English Premier League,Bournemouth,Stoke,No Recovery,2,6,33.33
English Premier League,Bournemouth,Stoke,Protected Lead,2,6,33.33
English Premier League,Bournemouth,Stoke,Recovery Draw,1,6,16.67
English Premier League,Bournemouth,Sunderland,Draw Breakthrough,1,4,25.0
English Premier League,Bournemouth,Sunderland,Draw Lost,1,4,25.0
English Premier League,Bournemouth,Sunderland,Protected Lead,1,4,25.0
English Premier League,Bournemouth,Sunderland,Stable Draw,1,4,25.0
English Premier League,Bournemouth,Swansea,Draw Breakthrough,1,6,16.67
English Premier League,Bournemouth,Swansea,Protected Lead,3,6,50.0
English Premier League,Bournemouth,Swansea,Stable Draw,2,6,33.33
English Premier League,Bournemouth,Tottenham,Draw Breakthrough,2,16,12.5
English Premier League,Bournemouth,Tottenham,Draw Lost,2,16,12.5
English Premier League,Bournemouth,Tottenham,Lead Collapse,1,16,6.25
English Premier League,Bournemouth,Tottenham,Lead Slip,1,16,6.25
English Premier League,Bournemouth,Tottenham,No Recovery,7,16,43.75
English Premier League,Bournemouth,Tottenham,Protected Lead,1,16,6.25
English Premier League,Bournemouth,Tottenham,Stable Draw,2,16,12.5
English Premier League,Bournemouth,Watford,Draw Lost,1,10,10.0
English Premier League,Bournemouth,Watford,Lead Slip,1,10,10.0
